item_id,supplier_id,supplier_name,season,supplier_reference,supplier_reference_description,purchase_price,length,width,height,weight,hscode6,hscode10,main,sub,detail,level4,item_type,materials,dataset
74913,864,Wbt Manufacturing,2026_AW,WBT7604,draught excluder DACHSHUND,5.25,96.5,20.0,21.0,2300.0,630790.0,,Home Textiles,Unspecified,Unspecified,Unspecified,,"POLYESTER (60.00%), SAND (40.00%)",train
65502,1748,"Minhou Xingjie Arts&Crafts Co., LTD",2026_AW,25XJG170,WOODEN WALL SHELF 61*14*60CM,10.65,61.0,14.0,60.0,3000.0,442199.0,,Furniture,Storage,Wall Shelves,Unspecified,Wall shelf,FIR WOOD (100.00%),train
74478,1768,Luminus,2026_AW,ref02,2000ml HWB with knitted cover size: 33*20cm,2.08,33.0,20.0,5.0,450.0,401699.0,,Home Textiles,Unspecified,Unspecified,Unspecified,, (%),train
47654,690,Chuangda Porcelain Manufactory,2026_AW,CD10248B-11934-m,Cement pot,1.48,15.0,15.0,13.0,1260.0,681099.0,6810990000.0,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CEMENT (100.00%),train
42834,1007,Kenton,2026_AW,BH43852MA,2asst bear,1.55,7.5,5.5,15.5,,392640.0,3926400000.0,Decoration,Home Accessories,Figurines,Animals,Bear,"STONE (55.00%), POLYRESIN (45.00%)",train
72759,612,Glassboy,2026_AW,59360-OR,GLASS LED TREE DECORATION                    9*9*31.2CM                                 3XAA                     COLOR:ORANGE,3.9,9.0,9.0,31.2,221.0,701399.0,7013990090.0,Lighting,Decorative Lighting,Decorative Lighting,Unspecified,Tree,GLASS (100.00%),train
72198,923,Zibo Beacon,2026_AW,ESP9377-R,"Glass christmal tree, 9x9x15cm 538g",4.95,9.0,9.0,24.0,538.0,701399.0,7013990090.0,Decoration,Home Accessories,Decorative Objects,Decorative Trees,Christmas tree,GLASS (100.00%),train
73894,965,Xian Metals And Minerals Imp,2026_AW,23JP523_1,crystal candle holder,4.19,6.0,6.0,11.5,530.0,940550.0,9405500090.0,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,Candle holder,GLASS (0.00%),train
60700,832,Free Cloud,2026_AW,Y-B36930-1,Oil painting 120*90*3.5,36.74,122.5,3.5,92.5,4000.0,491199.0,4911990000.0,Decoration,Wall Decoration,Paintings,Unspecified,Painting,"ACRYLIC (PLASTIC) (40.00%), ACACIA WOOD (10.00%), POLYESTER (30.00%), PS (20.00%)",train
71308,866,Nc Gardens,2026_AW,002C-CB1752AG CR-474/002C-CB1752AG CR-475,65cm CABBAGE ROSE/65cm CABBAGE ROSE,1.09,65.0,12.0,10.0,31.0,670290.0,6702900000.0,Flowers & Plants,Artificial Flowers,Unspecified,Unspecified,Cabbage Rose,"POLYESTER (70.00%), PLASTIC (20.00%), WIRE (10.00%)",train
62471,1287,Jin Li Shi Arts And Crafts,2026_AW,24B0533 - 1 tree brown,Lantern             11*11*21,1.8,11.0,11.0,21.0,240.0,940550.0,,Decoration,Candles & Candle Holders,Hurricane Lights & Lanterns,Unspecified,Lantern,"FIR WOOD (60.00%), GLASS (40.00%)",train
71495,536,Topchoice,2026_AW,211548W_A,"PORCELAIN VASE IN THREE COLORS, BIG SIZE: 9.8X9.8X31.5CM A",0.0,9.8,9.8,31.5,820.0,691310.0,,Decoration,Flower Pots & Vases,Vases,Unspecified,,"PORCELAIN (90.00%), WATER (5.00%), GLAZE (5.00%)",train
72608,1312,Umiss ,2026_AW,PF-9_50cm_Orange,"120gsm paper with magnet and white string,  Size：Dia 50cm (custom size)",2.9,50.0,50.0,,,950590.0,,Decoration,Home Accessories,Unspecified,Unspecified,,"PAPER (95.00%), MAGNETS (3.00%), STRING (2.00%)",train
74173,754,Lolibaby,2026_AW,J25020×2022-camel,plush bunny doudou,2.72,26.0,26.0,5.0,66.0,950300.0,,Home Textiles,Soft Toys,Unspecified,Unspecified,Doudou,POLYESTER (100.00%),train
67093,562,V&S,2026_AW,25ST1200711,S3 Glass vase with color in window color box with handle,0.79,26.0,6.5,14.0,450.0,701399.0,7013990090.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,"GLASS (98.00%), PAPER (2.00%)",train
68091,694,Hongmei Arts & Crafts Co Ltd,2026_AW,MS193581-9.5I-2,"reindeer pc,23*8*24",3.6,23.0,8.0,24.0,390.0,392640.0,3926400000.0,Decoration,Home Accessories,Figurines,Animals,Reindeer,"POLYRESIN (95.00%), POLYESTER (5.00%)",train
73522,194,Export House,2026_AW,108740,Wine Bottle Holder Stag black,31.7,21.0,20.0,109.0,3100.0,830629.0,8306290000.0,Tableware,Wine & Bar Accessories,Wine Accessories,Unspecified,Wine rack,ALUMINIUM (100.00%),train
70894,137,Suraj International,2026_AW,SI-11221,RECLAIMED TEAK WOOD SET OF 2 COFFEE TABLE -                84 X 39 X 44 / 84 X 39 X 38,47.0,84.0,39.0,44.0,14800.0,940360.0,,Furniture,Tables,Coffee Tables,Unspecified,Coffee table,"RECYCLED WOOD (70.00%), MDF (15.00%), IRON (15.00%)",train
74354,562,V&S,2026_AW,24CN20611/24CN20611-2/24CN20611-3/24CN20611-4,Glass with color and  100g wax 3% fragrance/Glass with color and  100g wax 3% fragrance/Glass with color and  100g wax 3% fragrance- WRONG COLOR WE ASKED GOLDEN TREE/Glass with color and  100g wax 3% fragrance,0.78,6.1,6.1,11.0,280.0,340600.0,3406000000.0,Decoration,Candles & Candle Holders,Candles,Unspecified,Candle,"GLASS (67.00%), PARAFFIN (33.00%)",train
62686,837,New Land Co Ltd,2026_AW,XT-2222CL,Glass candle holder,4.69,22.0,22.0,22.0,1400.0,701399.0,7013990090.0,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,Candle holder,GLASS (100.00%),train
8273,1115,Ceramicosta,2026_AW,18000-83 mixed col,High ear vase mixed color V4 - H83,47.2,,,83.0,7530.0,,,Decoration,Flower Pots & Vases,Floor Vases,Unspecified,Floor vase,CERAMIC (100.00%),train
71978,991,Beijing Housewares,2026_AW,2541954,GLASS CANDLE HOLDER-10*10*14CM,2.45,10.0,10.0,14.0,630.0,940550.0,,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,, (%),train
73829,933,Rirong,2026_AW,RR27R017A_B,S/3 TRUNK  48*30*29CM,16.3,84.0,30.0,29.0,,442019.0,4420190000.0,Decoration,Decoration Storage,Storage Boxes,Unspecified,Storage Trunk,"WOOD (2.00%), MDF (60.00%), FABRIC (30.00%), FAUX LEATHER (5.00%), METAL (3.00%)",train
65607,381,Langhao,2026_AW,J11525-1,"Owl shaped glass jar - clear,#L, 12.5*11*14.2cm",2.16,12.5,11.0,14.2,770.0,701399.0,7013990090.0,Decoration,Decoration Storage,Storage Jars,Unspecified,Decorative Jar,GLASS (100.00%),train
60771,136,Paramount Exports,2026_AW,30143-S,"Decorative Elephant, 7¾x5½x13¾"" H, Matt Black",12.25,19.5,14.0,35.0,1.88,830629.0,8306290000.0,Decoration,Home Accessories,Figurines,Animals,Elephant,ALUMINIUM (100.00%),train
68906,1258,Team Youth,2026_AW,TS2112-16BB1a-gold,41cm height ball tower with tinsel,4.0,18.5,18.5,40.0,308.0,950510.0,9505109000.0,Decoration,Home Accessories,Decorative Objects,Decorative Cones,Cone,"PS (80.00%), PET (20.00%)",train
66306,645,Minqian Arts & Crafts,2026_AW,T246185D115,METAL DECORATION16*16*67,5.8,16.0,16.0,67.0,460.0,830629.0,8306290000.0,Decoration,Home Accessories,Other,Garlands & hangers,Hanger,"IRON (80.00%), ROPE (10.00%)",train
57494,1044,Crystal Coast Glassware,2026_AW,40849-210B PINK,"pink - 1,05 no gold rim",1.25,9.4,9.4,20.1,349.0,701337.0,,Tableware,Glassware,Champagne Glasses,Unspecified,,GLASS (100.00%),train
68667,470,Zhejiang Top1,2026_AW,BS655-872 OCHRE,"rechargeable touch LED table lamp  ,5V 1W                                battery: 1200mAh                  80cm USB cable ,without adaptor",4.0,11.7,11.7,32.0,,940521.0,,Lighting,Desk & Table Lamps,Unspecified,Unspecified,,"MATEL (70.00%), GLASS (30.00%)",train
81676,1112,Decer,2026_AW,7000-17,"VASO COM ROLETO D, GREEN GLZ",4.35,17.0,17.0,14.0,,,,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CERAMIC (100.00%),train
67789,536,Topchoice,2026_AW,2508-13,"MAGNESIA SHEEP POT, SIZE: 24.5X19.5X35.2CM",4.8,24.5,19.5,35.2,1800.0,681591.0,6815910000.0,Decoration,Home Accessories,Figurines,Animals,Sheep,"MAGNESIUM (70.00%), FIBER (20.00%), WATER (10.00%)",train
60840,1739,Rustic India ,2026_AW,88533 B,Paper mache table lamp base - 12x12x40 cms white,15.5,12.0,12.0,40.0,1200.0,940599.0,,Lighting,Desk & Table Lamps,Unspecified,Unspecified,Table lamp base,"PAPIER-MÂCHÉ (70.00%), IRON (30.00%)",train
69347,598,Glory International,2026_AW,24WD151-2,BATTERY LED LIGHT + 9x9x11.8cm,2.75,9.0,9.0,11.8,540.0,940521.0,9405215000.0,Lighting,Decorative Lighting,Decorative Lighting,Unspecified,Lamp,"GLASS (80.00%), IRON (15.00%), LED LIGHT (5.00%)",train
66157,852,Xd Glass,2026_AW,XDCH537,clear L,3.2,18.3,18.3,24.0,600.0,701399.0,7013990090.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,GLASS (100.00%),train
71291,837,New Land Co Ltd,2026_AW,FD-12135WTRS_1_1,Glass vase,2.25,12.0,12.0,13.5,500.0,701399.0,,Decoration,Flower Pots & Vases,Vases,Unspecified,,GLASS (100.00%),train
75406,612,Glassboy,2026_AW,612200034-dark green,GLASS TREE DECORATION                     COLOR: darkest green 10*10*32CM,5.6,10.0,10.0,32.0,,701399.0,7013990090.0,Decoration,Home Accessories,Decorative Objects,Decorative Trees,Tree,GLASS (100.00%),train
66365,645,Minqian Arts & Crafts,2026_AW,T245273E672,METAL VASE14*14*26,3.17,14.0,14.0,26.0,360.0,830629.0,8306290000.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,IRON (100.00%),train
45554,790,Shenyang James Arts & Crafts,2026_AW,D012430412-1NAT,"Dog,Natural,47*17*48CM",16.0,47.0,17.0,48.0,500.0,630790.0,6307909899.0,Decoration,Home Accessories,Figurines,Animals,Dog,"POLYFOAM (50.00%), FABRIC (40.00%), PLASTIC (10.00%)",train
73328,177,Sturdy Exports,2026_AW,ST24-2146C WHITE,DECO LOVE HEART,3.99,51.5,16.0,6.5,700.0,442019.0,4420190000.0,Decoration,Home Accessories,Decorative Objects,Decorative Letters & Numbers,Love,MANGO WOOD (100.00%),train
75255,470,Zhejiang Top1,2026_AW,BS284-1300-3,LED Ceiling lamp                             gold metal+clear acylic                2W                                                            1.5m cable                                  Size: 24x24x150cm,7.85,24.0,24.0,150.0,,940511.0,,Lighting,Ceiling Lamps,Unspecified,Unspecified,Ceiling lamp,"ACRYLIC (PLASTIC) (60.00%), METAL (40.00%)",train
32070,593,New Star Arts & Crafts,2026_AW,723X889-J,CANDY NUTCRACKER 11.00*11.00*44.00CM,4.03,11.0,11.0,44.0,226.0,630790.0,6307909899.0,Decoration,Unspecified,Unspecified,Unspecified,,"WOOL (50.00%), FOAM (45.00%), PLASTIC (5.00%)",train
64662,1732,Hightech Trading ,2026_AW,HTC26_Olive M,Aluminium Candle Holder M 6x6x24,4.0,6.0,6.0,24.0,360.0,,,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,Candle holder,ALUMINIUM (100.00%),train
57433,784,Layn Sino Furniture,2026_AW,LSR23197 C,storage stool,28.0,59.0,59.0,40.0,10800.0,940161.0,9401610000.0,Furniture,Sofas & Armchairs,Pouffes & Beanbags,Unspecified,Pouffe,"PLYWOOD (40.00%), FOAM (35.00%), FABRIC (25.00%)",train
70702,576,Yunsheng Ceramics Manufactory,2026_AW,18A052M-S94-24076-BR,14X14X12.5CM,1.84,14.0,14.0,12.5,850.0,691310.0,6913100090.0,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CERAMIC (100.00%),train
72795,988,Fuzhou Kingart,2026_AW,KZG2023-236-110-J,"WALL CLOCK, 110*110*10CM，WITHOUT GLASS",56.0,110.0,10.0,110.0,16000.0,910521.0,9105210000.0,Decoration,Clocks,Wall Clocks,Unspecified,Wall clock,"METAL (90.00%), PLASTIC (10.00%)",train
43401,276,China Neeo,2026_AW,N37172-3001-7,"Candle strawberry tealight,set of 6",1.9,13.8,9.5,4.8,113.0,340600.0,3406000000.0,Decoration,Candles & Candle Holders,Candles,Unspecified,Candle,PARAFFIN (100.00%),train
74083,333,Like Ceramics,2026_AW,MI33V-beige,Cup and saucer,1.48,11.5,7.9,6.2,,691110.0,6911100090.0,Tableware,Dinnerware,Mugs,Unspecified,Coffee cup + saucer,PORCELAIN (100.00%),train
71113,690,Chuangda Porcelain Manufactory,2026_AW,CD10073C-11413-s/CD10073C-11413-s1,Cement pot/Cement pot,0.93,11.5,11.5,10.0,660.0,681099.0,6810990000.0,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CEMENT (100.00%),train
75057,217,Rajkamal Overseas,2026_AW,77256,WOODEN BOWL   12 X 12 X 6  INCH,7.95,30.48,30.48,15.24,765.0,441920.0,4419209000.0,Tableware,Dinnerware,Bowls,Unspecified,Bowl,"MANGO WOOD (90.00%), PAINT (5.00%), RESIN (5.00%)",train
74715,814,Eastown International Ind,2026_AW,10TW890ULM_white,WHITE IRON COAST RACK 38X38X199CM,37.55,38.0,38.0,199.0,80500.0,940320.0,,Decoration,Decoration Storage,Coat Racks,Unspecified,Coat rack,IRON (100.00%),train
74357,562,V&S,2026_AW,24CN311125-11_1,Glass with luster finish and 150G wax  2% fragrance,1.47,11.0,11.0,12.5,580.0,340600.0,3406000000.0,Decoration,Candles & Candle Holders,Candles,Unspecified,Candle,GLASS (73.00%),train
70953,549,Wuxing Furniture,2026_AW,FR22023 - BURGUNDY,LEISURE CHAIR D89*W76.5*H93CM,68.5,95.0,78.0,89.5,18500.0,,,Furniture,Sofas & Armchairs,Armchairs,Unspecified,Lounge Chair,"MATEL (80.00%), FABRIC (10.00%), FOAM (10.00%)",train
71496,536,Topchoice,2026_AW,211548W_B,"PORCELAIN VASE IN THREE COLORS, BIG SIZE: 9.8X9.8X31.5CM B",0.0,,,,,691310.0,,Decoration,Flower Pots & Vases,Vases,Unspecified,,"PORCELAIN (90.00%), WATER (5.00%), GLAZE (5.00%)",train
75091,217,Rajkamal Overseas,2026_AW,77295,WOODEN BOWL   9.5 X 9.5 X 4.5  INCH,6.1,24.13,24.13,11.43,510.0,441920.0,4419209000.0,Tableware,Dinnerware,Bowls,Unspecified,Bowl,"MANGO WOOD (90.00%), PAINT (5.00%), RESIN (5.00%)",train
68107,694,Hongmei Arts & Crafts Co Ltd,2026_AW,MX240296-4.5B-1,"frog pc,8.5*2.8*11.5",1.03,8.5,2.8,11.5,115.0,392640.0,3926400000.0,Decoration,Home Accessories,Figurines,Animals,Frog,POLYRESIN (100.00%),train
44355,665,Saite Gift Co Ltd,2026_AW,AD264146,Metal house,3.26,26.8,8.0,7.2,195.0,950510.0,,Decoration,Home Accessories,Decorative Objects,Objects,House,"IRON (90.00%), GLASS (10.00%)",train
70687,576,Yunsheng Ceramics Manufactory,2026_AW,25A037XL-F17-25124-2,25X25X19CM,11.22,25.0,25.0,19.0,2300.0,691310.0,6913100090.0,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CERAMIC (100.00%),train
72152,1743,TIO homedesign,2026_AW,25S01268-1,Glass Candle holder                             Size:10.5*10.5*27cm,2.88,10.5,10.5,27.0,450.0,940550.0,,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,,GLASS (100.00%),train
78491,622,Lianda Ceramics,2026_AW,LD25A185-L,Cement flowerpot with bird on a branch 28.5x22x20cm,5.0,28.5,22.0,20.0,3900.0,681099.0,,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CEMENT (100.00%),train
72641,1312,Umiss ,2026_AW,LS-23_Deep red,36x36x80,12.4,36.0,36.0,80.0,750.0,482390.0,4823908580.0,Decoration,Home Accessories,Other,Garlands & hangers,Hanger,"PAPER (95.00%), MAGNETS (5.00%)",train
57583,1494,Sote,2026_AW,K,60CM Santa Claus For Decoration,10.5,34.0,20.0,60.0,1000.0,950510.0,9505109000.0,Decoration,Home Accessories,Figurines,Fantasy,Santa Claus,"PLASTIC (60.00%), FABRIC (30.00%), FIBER (10.00%)",train
19107,64,Arvind Expo Crafts (ART COLLECTIONS),2026_AW,38339C,Wooden breadboard,5.75,22.0,1.75,55.0,700.0,441990.0,4419900000.0,Tableware,Serveware,Serving Boards,Unspecified,Cheese board,"MANGO WOOD (98.00%), LEATHER (2.00%)",train
69368,598,Glory International,2026_AW,EXA185-32G,Diamond glass vase Green- L 18x15x32cm,9.7,18.0,15.0,32.0,2700.0,701399.0,7013990090.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,GLASS (100.00%),train
74372,1699,Shengfeng,2026_AW,21CH0653-18,Christmas Tinsel Tree with ball 10x10x20.5cm DARK GREEN,0.68,10.0,10.0,20.5,57.0,950510.0,9505109000.0,Decoration,Home Accessories,Decorative Objects,Decorative Trees,Christmas tree,"POLYSTYRENE (40.00%), PET (20.00%), POLYPROPYLENE (40.00%)",train
73216,177,Sturdy Exports,2026_AW,ST24-1953B GOLD,DECO LONG HEART 3D,2.35,20.0,16.0,3.5,610.0,442019.0,4420190000.0,Decoration,Home Accessories,Decorative Objects,Objects,Heart,MANGO WOOD (100.00%),train
70723,576,Yunsheng Ceramics Manufactory,2026_AW,18A052M-S94-18065,14X14X12.5CM,1.84,14.0,14.0,12.5,850.0,691310.0,6913100090.0,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,CERAMIC (100.00%),train
81324,1739,Rustic India ,2026_AW,88533 A-S_2/88533 A_2,Fabric lamp shade - 23x23x50 cms dark brown/Paper mache floor lamp base - 20x20x75 cms dark brown,36.5,,,,5000.0,940599.0,,Lighting,Floor Lamps,Unspecified,Unspecified,Floor lamp,"FABRIC (60.00%), IRON (20.00%), PLASTIC (20.00%)",train
72708,612,Glassboy,2026_AW,982502754,GLASS CANDLE HOLER           7.8*7.8*22.6CM                      COLOR:BLUE,2.45,7.8,7.8,22.6,45.0,950510.0,,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,, (%),train
73544,194,Export House,2026_AW,108762,Candle Snuffer Reindeer black,1.98,27.0,4.0,9.0,100.0,830629.0,8306290000.0,Decoration,Candles & Candle Holders,Candle Snuffers,Unspecified,Candle snuffer,ALUMINIUM (100.00%),train
68479,814,Eastown International Ind,2026_AW,14AS663AKB-2 2,"PEWTER HOOK,17.00X12.20X7.50",1.95,17.0,12.2,7.5,160.0,830250.0,8302500000.0,Decoration,Decoration Storage,Coat Racks,Unspecified,Coat rack,PEWTER (100.00%),train
71281,837,New Land Co Ltd,2026_AW,FD-12135WTRS_1,Glass vase,2.25,12.0,12.0,13.5,500.0,701399.0,,Decoration,Flower Pots & Vases,Vases,Unspecified,,GLASS (100.00%),train
