item_id,season,supplier_name,gt_color1,gt_color2,gt_color3,pred_detail_1,pred_detail_2,pred_detail_3,pred_main_1,pred_main_2,pred_main_3,is_multi,confidence_1,confidence_2,confidence_3,image_description,errors,latency_seconds,success,image_path
61455,2026_AW,Tengxiang Arts & Crafts,Natural,,,Natural,Brown,Camel,Natural,Brown,Brown,False,0.95,0.85,0.75,"The product features a natural wood tone with a textured bark surface, displaying shades of brown ranging from light to dark. The interior is a lighter, smooth wood finish. The overall appearance is rustic and organic.",,8.94,True,../pics/2026_AW/Tengxiang Arts & Crafts_2311/images/61455_SW17985 S_0_SELECTION SHEET-Tengxiang Arts & Crafts-2026_AW-SF2311.jpg
75479,2026_AW,Glassboy,Green,Gold,,Green,Gold,,Green,Gold,,False,0.9,0.85,,"The product features a dominant transparent light green color with variations in depth. There are also metallic gold accents in a crisscross pattern. The overall finish is glossy, enhancing the light reflection. Each holder has a distinct shade of green, contributing to a multi-color aspect.",,7.39,True,../pics/2026_AW/Glassboy_1558/images/75479_ML563330_1_0_265379_merged_20251017_082136158.jpg
44417,2026_AW,Saite Gift Co Ltd,Brown,White,,Brown,Gold,White,Brown,Gold,White,False,0.9,0.85,0.8,"The product features a dominant light brown body with dark brown polka dots. The hat is light brown with gold stripes. The face is a soft cream color, and the beard is white. The tree is a light beige with gold accents. The overall finish is matte with some glossy elements on the gold stripes.",,7.95,True,../pics/2026_AW/Saite Gift Co Ltd_1560/images/44417_AD278277_0_updated pics - SAMPLE REQUEST SHEET-Saite Gift Co Ltd-2026_AW-SF1560 (3) - Copy_20250620_061134298.jpg
60135,2026_SS,Caveman Furniture,Natural,,,Natural,,,Natural,,,False,0.95,,,"The product features a natural wood tone with variations in light and dark browns, showcasing the organic texture of the teak wood. The surface has a matte finish, enhancing the natural appearance. The glass top is clear, allowing the wood base to be the focal point.",,7.46,True,../pics/2026_SS/Caveman Furniture_2047/images/60135_SW - CFT - TR - 08_0_SELECTION SHEET-Caveman Furniture-2026_SS-SF2047 - CV VIRGO ITEMS.jpg
71664,2026_AW,Saite Gift Co Ltd,White,,,White,,,White,,,False,0.95,,,"The product features a dominant white color with a matte finish. There are cut-out patterns in the shape of windows and decorative elements, but no additional colors are present. The overall appearance is clean and simple, emphasizing the white hue.",,8.02,True,../pics/2026_AW/Saite Gift Co Ltd_1560/images/71664_AD279679_AD279685_AD279697_AD279703_0_266585_merged_20250626_115410020.jpg
46929,2026_AW,Wadou Creative Art Co,Beige,Brown,,Brown,Light beige,Off-white,Brown,Beige,White,False,0.85,0.85,0.8,"The product features a palette of warm neutrals including light beige, cream, medium brown, and dark brown. The finishes appear matte with a smooth texture. There are distinct blocks of color arranged in a geometric pattern.",,8.85,True,../pics/2026_SS/Wadou Creative Art Co_1637/images/46929_3_0_2026_SS-Wadou Creative Art Co-1637-SELECTION-SHEET PAT OK.jpg
56163,2026_SS,Chuangda Porcelain Manufactory,Pink,Orange,,Orange,Pink,,Orange,Pink,,False,0.9,0.85,,"The product features a terracotta base with a glossy finish. The top pot displays a dominant orange color with white floral patterns, while the bottom pot showcases a pink color with similar white floral designs. Both pots have a smooth texture.",,7.23,True,../pics/2026_SS/Chuangda Porcelain Manufactory_1713/images/56163_CD10348C-9136 ORANGE_CD10348C-9136 PINK_0_63084_merged_20241218_101447885.jpg
56934,2026_SS,Ivy Deco Manufacture,Dark blue,,,Dark blue,,,Blue,,,False,0.9,,,"The product features a dominant dark blue color with a matte finish. The woven texture adds depth to the color, but no additional hues are present.",,6.84,True,../pics/2026_SS/Ivy Deco Manufacture_1622/images/56934_TK2987K2C1 - BLUE_0_2026_SS-Ivy Deco Manufacture-1622-SELECTION-SHEET.jpg
71083,2026_SS,Jagdish,White,Orange,,Coral red,Off-white,,Red,White,,False,0.85,0.85,,"The product features a combination of red and cream colors. The left piece has alternating red stripes on a cream background, while the right piece displays a solid coral red section alongside a cream section. The fabric has a matte finish with fringed edges.",,8.28,True,../pics/2026_SS/Jagdish_1486/images/71083_JOTH 171374 _ 75_0_ESTIMATED ORDER- Jagdish-2026_SS-SF1486.jpg
71919,2026_AW,Beijing Housewares,Turquoise,,,Pink,Orange,,Pink,Orange,,False,0.85,0.85,,"The product features a vibrant pink top section with a ribbed texture, a glossy orange middle section, and a matching pink bottom section, also ribbed. The overall finish is glossy, enhancing the brightness of the colors.",,6.43,True,../pics/2026_AW/Beijing Housewares_2223/images/71919_2531107_0_Canton fair selection-Beijing Housewares-2026_fw.jpg
54878,2026_SS,Dingsheng Gift,Beige,,,Beige,,,Beige,,,False,0.9,,,"The product features a dominant earthy beige color with subtle variations in tone. The surface has a matte finish, enhancing its natural appearance. There are decorative patterns etched into the surface, including ridges and geometric shapes in a slightly darker shade of beige. The overall look is rustic and organic.",,10.55,True,../pics/2026_SS/Dingsheng Gift_1544/images/54878_20H505_0_DINGSHENG 1-2026 SELECTION SHEET.jpg
82687,2026_AW,M&sense,White,Christmas red,Dark green,Multi,,,Multi,,,True,1.0,,,"The product features a creamy white wax candle with a glossy finish. The lid is a deep burgundy color. The decorative elements include green trees and figures in shades of burgundy, red, and dark green. The overall design is playful and festive, with a mix of colors that complement the winter theme.",,9.67,True,../pics/2026_AW/M&sense_1639/images/82687_M5_0_SELECTION SHEET-M&sense-2026_AW-SF1639.jpg
42833,2026_AW,Kenton,Camel,,,Beige,Gold,Camel,Beige,Gold,Brown,False,0.9,0.85,0.8,"The product features soft beige and light brown tones for the bears, with a matte finish. The gift boxes are primarily white with a textured surface, accented by shiny gold ribbons. The bears have subtle details in their facial features and accessories, adding depth. Overall, there are 4 distinct colors: beige, light brown, white, and gold.",,7.8,True,../pics/2026_AW/Kenton_2160/images/42833_A102036KT_0_SELECTION SHEETPATOK-Kenton-2026_AW-SF2160 .jpg
74115,2026_AW,Glassboy,Light pink,,,Pink,,,Pink,,,False,0.95,,,"The product features a dominant pearl pink color with a glossy finish. The glass has a smooth texture, enhancing the light reflection. There are no distinct patterns or gradients, and the overall appearance is uniform. The color is consistent throughout the candle holder.",,7.79,True,../pics/2026_AW/Glassboy_2571/images/74115_TM99102_TM99101_0_ESTIMATED ORDER-Glassboy-2026_AW-SF2571.jpg
77417,2026_AW,Betterway,White,Gold,,Off-white,Gold,,White,Gold,,False,0.9,0.85,,The mugs are predominantly off-white with gold text. The text features phrases like 'COFFEE LOVER' and 'BEST PART OF THE DAY' in a metallic gold finish. The overall appearance is glossy due to the porcelain material.,,7.72,True,../pics/2026_AW/Betterway_2726/images/77417_S1D-B3689_8119WA_S1D-B3689_8119WC_0__merged_20251103_110554912.jpg
62996,2026_SS,CV. Palem Craft Jogja,Orange,Natural,,Natural,Pink,Yellow,Natural,Pink,Yellow,False,0.7,0.85,0.8,"The product features a central natural brown color from the banana twig, surrounded by a vibrant pink border. The star pattern is highlighted with bright yellow accents. The overall finish appears matte, emphasizing the natural textures of the materials used.",,7.23,True,../pics/2026_SS/CV. Palem Craft Jogja_1605/images/62996_DP0396 dia 57 - 1_0_INFORMATION SHEET-CV. Palem Craft Jogja-2026_SS-SF1605.jpg
59669,2026_AW,Amoy,Beige,,,Beige,White,Camel,Beige,White,Brown,False,0.9,0.85,0.8,"The product features a soft beige body with light brown accents, a white fluffy vest, and a white lace skirt. The legs are a shiny beige with white fur trim at the top. The antlers are light beige with a subtle texture. The overall finish is soft and plush, with some glossy elements on the legs.",,10.33,True,../pics/2026_AW/Amoy_2162/images/59669_LF2459001_0_SELECTION SHEET-Amoy-2026_AW-SF1845-SF2162.jpg
78076,2026_AW,All Market ,Light blue,,,Silver,Petrol,Blue,Silver,Blue,Blue,False,0.9,0.85,0.8,"The product features a mix of reflective surfaces in shades of silver, teal, and blue, with some panels appearing darker, almost black. The finishes are glossy and metallic, enhancing the reflective quality. There are variations in hue across the panels, creating a gradient effect. The total number of distinct colors is estimated at 4.",,9.31,True,../pics/2026_AW/All Market _2674/images/78076_Sequin pane - Blue mix_0_ESTIMATED ORDER - All Market -2026_AW-SF2674.jpg
63017,2026_SS,CV. Palem Craft Jogja,Natural,,,Natural,Silver,,Natural,Silver,,False,0.95,0.85,,"Natural beige tones dominate the sisal material, showcasing a textured, organic appearance. The inner circle features a reflective glass surface. The overall finish is matte, with no distinct patterns or gradients.",,8.01,True,../pics/2026_SS/CV. Palem Craft Jogja_1605/images/63017_MP0450 (modif DP0463) - dia 120 cm - 3_0_INFORMATION SHEET-CV. Palem Craft Jogja-2026_SS-SF1605.jpg
62478,2026_AW,Jin Li Shi Arts And Crafts,Brown,,,Grey,Black,,Grey,Black,,False,0.9,0.85,,"The product features a dominant gray color with a weathered wood finish, complemented by black metal accents. The glass sections are clear, allowing visibility of the interior. The overall appearance has a rustic charm with a matte texture.",,8.23,True,../pics/2026_AW/Jin Li Shi Arts And Crafts_2245/images/62478_25A0005 antic white_0_Copy of INFORMATION SHEET-Jin Li Shi Arts And Crafts-2026_AW-SF2245 ok.jpg
74149,2026_AW,Jianwen Craft,White,Black,,White,Black,,White,Black,,False,0.9,0.9,,"The product features a glossy finish with a dominant white base color adorned with distinct black spots. The black spots vary in size and shape, creating a playful pattern. Overall, the product has a clean and modern aesthetic.",,7.18,True,../pics/2026_AW/Jianwen Craft_2161/images/74149_11617541-5_116175551-5_11617561-5_1_0_265265_merged_20250806_113801229.jpg
72184,2026_AW,Shenyang New Seasons Arts&craf,Christmas red,,,Christmas red,,,Red,,,False,0.95,,,"The product features a dominant bright red color with a glossy finish, enhancing its vibrancy. The surface has a textured pattern resembling a Christmas tree, contributing to its festive appearance.",,7.34,True,../pics/2026_AW/Shenyang New Seasons Arts&craf_1816/images/72184_XH-F0014_0_INFORMATION SHEET-Shenyang New Seasons Arts&craf-2026_AW-SF1816 (1).jpg
57070,2026_SS,Evergreat International Co,Natural,,,Natural,,,Natural,,,False,0.95,,,"The product features a natural wood tone with light brown and beige hues, showcasing a textured finish. The palm leaves are slightly darker, adding depth. The overall appearance is matte, emphasizing the organic materials used.",,7.4,True,../pics/2026_SS/Evergreat International Co_1784/images/57070_EG16244-NATURAL BANANA_0_SELECTION SHEET-Evergreat International Co-2026_SS-SF1784_20250415_142328124.jpg
44425,2026_SS,"Master International Trade Co.,Ltd",Blue,White,,Blue,White,,Blue,White,,False,0.9,0.85,,"The product features a dominant blue color (Pantone 288c) alongside white. The blue is vibrant and solid, while the white provides a clean contrast. The overall finish appears matte.",,7.23,True,"../pics/2026_SS/Master International Trade Co.,Ltd_1603/images/44425_MB380C_4-10-1_1_Copie de 2026_SS-MasterInternationalTradeCo.Ltd-1603-INFORMATION-SHEET.jpg"
67846,2026_AW,Topchoice,Gold,White,,White,Gold,,White,Gold,,False,0.9,0.85,,"The product features a combination of glossy white and metallic gold colors. The white is prominent on the body of the vases, while the gold is used as a decorative band around the top of each piece. The finish is smooth and shiny, enhancing the overall elegance of the design.",,8.1,True,../pics/2026_AW/Topchoice_2163/images/67846_24004A-2_0_INFORMATION SHEET-Topchoice-2026_AW-SF2163-0521.jpg
69990,2026_SS,Supersonic Marketing (KOMO),Multi,,,Pink,Red,Orange,Pink,Red,Orange,False,0.85,0.85,0.85,"The product features a vibrant assortment of colors including red, pink, orange, and light pink. The stripes alternate between these colors, creating a lively pattern. The material has a matte finish, enhancing the brightness of the colors. The total number of distinct colors is 4.",,8.85,True,../pics/2026_SS/Supersonic Marketing (KOMO)_2169/images/69990_EXAP-KOMO-2025_JL-002-pink_orange_1_0_ESTIMATED ORDER - Supersonic Marketing (KOMO)-2026_SS-SF2169 (1).jpg
56108,2026_SS,Kiyi Gift,White,Yellow,,White,Yellow,Black,White,Yellow,Black,False,0.95,0.85,0.7,"The product features a dominant white color with a fluffy texture. The beak and feet are a bright yellow, while the eyes are black, providing contrast. The overall finish is soft and plush.",,6.11,True,../pics/2026_SS/Kiyi Gift_1573/images/56108_KY24SP3020_0_Copie de 2026_SS-KiyiGift-1573-INFORMATION-SHEET_20241218_101002018.jpg
74925,2026_AW,Wbt Manufacturing,Beige,Dark brown,,Light beige,Brown,Dark brown,Beige,Brown,Brown,False,0.9,0.85,0.75,"The bear features a light beige body with a soft, textured finish. It wears a brown plaid jacket with shades of brown and tan, complemented by a dark brown hat. The scarf around its neck is a darker brown. The overall appearance is warm and cozy.",,10.76,True,../pics/2026_AW/Wbt Manufacturing_2442/images/74925_WBT7617_0_OK INFORMATION SHEET-Wbt Manufacturing-2026_AW-SF2442 (1)_20250909_130331445.jpg
70137,2026_AW,Gemy Welldone Glass,Orange,,,Green,,,Green,,,False,0.9,,,"The product features a solid green glass body with a textured finish. The color is consistent throughout, with a slight gradient effect towards the base. The glass has a glossy finish that enhances its color depth.",,6.61,True,../pics/2026_AW/Gemy Welldone Glass_2327/images/70137_J71251167P-2_0_SAMPLE REQUEST SHEET-Gemy Welldone Glass-2026_AW-SF2327-1.jpg
73208,2026_AW,Umiss ,Grey-green,,,Petrol,,,Blue,,,False,0.9,,,"The product features a deep teal color with a matte finish. The layered design creates a subtle gradient effect, enhancing the visual depth. There are no additional distinct colors present.",,7.95,True,../pics/2026_AW/Umiss _2443/images/73208_CS-13_25cm_Pantone 5625U_0_to import INFORMATION SHEET-Umiss -2026_AW-SF2443_20250709_133651709.jpg
50663,2026_SS,Huixiang,Ocher yellow,,,Camel,White,,Brown,White,,False,0.9,0.85,,"The product features a warm, medium brown color with a matte finish. The LED light inside is a soft white, creating a subtle contrast. The overall appearance is smooth with a slight texture mimicking wax.",,6.72,True,../pics/2026_SS/Huixiang_1681/images/50663_N24CT0710BN_0_2026_SS-Huixiang-1681-INFORMATION-SHEET_20241121_160147611.jpg
75075,2026_AW,Rajkamal Overseas,White,,,Natural,,,Natural,,,False,0.95,,,"The tray features a natural wood tone with a light, muted finish. The surface exhibits a subtle grain pattern, enhancing its organic appearance. The overall look is soft and understated, with a matte finish.",,7.5,True,../pics/2026_AW/Rajkamal Overseas_2206/images/75075_77276_0_ESTIMATED ORDER-Rajkamal Overseas-2026_AW-SF2206.jpg
71238,2026_SS,Orange Concept,Green,,,Multi,,,Multi,,,True,1.0,,,"The armchair features a vibrant green base with floral patterns in pink, red, and purple. Additional colors include yellow and dark green for the leaves and stems. The finish appears matte due to the fabric texture. The overall design is colorful and lively.",,8.05,True,../pics/2026_SS/Orange Concept_2475/images/71238_OCI-2408_0_Copy of INFORMATION SHEET-Orange Concept-2026_SS-SF2475.jpg
67910,2026_AW,Meizhou Jinfang,White,,,Silver,Off-white,,Silver,White,,False,0.9,0.85,,"The product features a metallic silver frame with warm white LED lights integrated throughout. The overall appearance is illuminated, creating a soft glow. The frame has a glossy finish, enhancing the reflective quality of the silver. There are no distinct patterns or gradients, just a uniform structure with lights. ",,8.68,True,../pics/2026_AW/Meizhou Jinfang_1759/images/67910_R7182_0_INFORMATION SHEET-Meizhou Jinfang-2026_AW-SF1759.jpg
35269,2026_SS,Like Ceramics,White,Orange,,White,Orange,Green,White,Orange,Green,False,0.9,0.9,0.8,"The teapot and cups feature a dominant white base with vibrant orange floral patterns and green leaves. The handle is made of natural wood, adding a warm tone. The overall finish is glossy, enhancing the colors' brightness.",,9.1,True,../pics/2026_SS/Like Ceramics_1295/images/35269_LYT10+LY660-ORANGE_0_ESTIMATED ORDER-Like Ceramics-2026_SS-SF1295 (1).jpg
49394,2026_SS,Longda Ceramics,Green,Blue,,Green,Blue,Beige,Green,Blue,Beige,False,0.9,0.85,0.8,"The product features a glossy finish with dominant colors of vibrant green, deep blue, and a lighter green. The blue is present on the beak and rim, while the lighter green is used for the handle. The interior is a soft beige. The overall design includes a playful bird motif. ",,9.37,True,../pics/2026_SS/Longda Ceramics_1769/images/49394_LD6076-K8-9.5_ GREEN BLUE_0_2026_SS-Longda Ceramics-1769-SELECTION-SHEET PART II.jpg
66043,2026_AW,Kj Home Collection,Transparent,,,Transparent,,,Transparent,,,False,0.95,,,"The vase features a clear glass finish with embossed tree patterns. The surface is glossy, enhancing the light reflection. The overall color is a single distinct clear tone.",,7.46,True,../pics/2026_AW/Kj Home Collection_2434/images/66043_WL-25030_0_Copy of INFORMATION SHEET-Kj Home Collection-2026_AW-SF2434.jpg
34545,2026_SS,Teammann,White,Natural,,White,Natural,,White,Natural,,False,0.95,0.85,,"The product features a dominant white color throughout the birds, with a matte finish. The branch is a natural wood tone, providing a subtle contrast. There are no distinct patterns or gradients. Overall, the product consists of two distinct colors.",,7.19,True,../pics/2026_SS/Teammann_1040/images/34545_F62-24026_0_SELECTION SHEET-Teammann-2026_SS-SF1040.jpg
66158,2026_AW,Xd Glass,Transparent,Gold,,Gold,Gold,,Gold,Gold,,False,0.765,0.85,,"The bowl features a transparent glass body with a thin gold edge. The glass has a textured finish, creating subtle reflections. The overall color scheme is clear with a metallic gold accent.",,6.98,True,../pics/2026_AW/Xd Glass_2290/images/66158_XDHL108_0_SELECTION SHEET-Xd Glass-2026_AW-SF2290 PAT OK.jpg
59611,2026_SS,Marg Shree ,Orange,Pink,,Orange,Pink,,Orange,Pink,,False,0.9,0.9,,"The product features two distinct ribbed vases. One is a vibrant translucent orange with a glossy finish, while the other is a bright translucent pink, also with a glossy finish. Both vases exhibit a swirling pattern that enhances their visual appeal.",,8.7,True,../pics/2026_SS/Marg Shree _1240/images/59611_MSE-24021408A Orange + Pink_MSE-24021408_A PINK_0__merged_20250411_113940596.jpg
50673,2026_SS,Huixiang,Light orange,,,Orange,,,Orange,,,False,0.95,,,"The product features a dominant bright orange color with a matte finish. The surface has a textured appearance, resembling wax. There are no additional colors or patterns present.",,7.88,True,../pics/2026_SS/Huixiang_1681/images/50673_N24CT1015ER_0_2026_SS-Huixiang-1681-SELECTION-SHEET PAT OK.jpg
66029,2026_SS,Deco Import,White,Olive,,Grey-green,Off-white,,Green,White,,False,0.9,0.85,,"The product features a glossy greenish-gray interior and a matte off-white exterior. The interior has subtle variations in hue, while the exterior displays a consistent light tone. The overall design showcases a shell shape with ridged patterns.",,7.74,True,../pics/2026_SS/Deco Import_1519/images/66029_HZ86156_1_0__merged_20250521_064051409.jpg
67751,2026_AW,Nanyang Arts And Crafts,Gold,Black,,Gold,Black,,Gold,Black,,False,0.95,0.85,,"The product features a dominant gold color for the snake, with a metallic finish that enhances its sheen. The base is a dark, matte black, providing contrast. The glass cover is clear, allowing visibility of the snake. Overall, the product has a sophisticated appearance with a total of 2 distinct colors.",,8.02,True,../pics/2026_AW/Nanyang Arts And Crafts_1902/images/67751_NY9574751B_0_SELECTION SHEET-Nanyang Arts And Crafts-2026_AW-SF1530-SF1902-SF2157.jpg
60410,2026_AW,Amoy,Brown,Christmas red,,Brown,Red,Green,Brown,Red,Green,False,0.9,0.85,0.75,"The product features a dominant warm brown color for the body, with a bright red nose and scarf. The scarf has white polka dots, and the letters 'J' and 'Y' are in red, while the letter 'O' is green with a wreath design. The antlers are a darker brown. The overall finish is soft and textured.",,10.97,True,../pics/2026_AW/Amoy_2162/images/60410_HAZ2419010_0_INFORMATION SHEET-Amoy-2026_AW-SF2162.jpg
71250,2026_AW,Nanyang Arts And Crafts,Gold,,,Gold,,,Gold,,,False,0.95,,,"The product features a dominant gold color with a metallic finish, giving it a shiny appearance. The details include a textured surface that enhances the visual interest. The glasses are also gold-toned, maintaining the overall color scheme. There are no distinct patterns or gradients. The product has a cohesive look with a single color theme.",,7.94,True,../pics/2026_AW/Nanyang Arts And Crafts_2157/images/71250_NY9967600_NY0041200_0__merged_20250624_104952781.jpg
57527,2026_SS,Tengyi,White,Green,,Green,Orange,Yellow,Green,Orange,Yellow,False,0.85,0.85,0.85,"The product features vibrant colors including orange, yellow, green, and pink. The flowers are glossy, enhancing their brightness. Each flower crown has a distinct color scheme: orange with orange flowers, yellow with yellow flowers, green with green flowers, and pink with pink flowers. The base is a matte white ceramic. There are 4 distinct colors on the product.",,8.98,True,../pics/2026_SS/Tengyi_1574/images/57527_D242696A green_0_2026_SS-Tengyi-1574-SELECTION-SHEET.jpg
69996,2026_SS,Supersonic Marketing (KOMO),Multi,,,Turquoise,Yellow,Neon Green,Blue,Yellow,Green,False,0.85,0.85,0.8,"The product features a vibrant combination of turquoise, bright yellow, and lime green. The turquoise serves as the base color, while the yellow is prominent in the central design and text. Lime green accents are present in the patterns. The finish appears matte due to the bead texture. There are no gradients or patterns beyond the distinct color placements.",,12.13,True,../pics/2026_SS/Supersonic Marketing (KOMO)_2169/images/69996_EXAP-KOMO-2025_JL-023_1_0_61420_merged_20250606_105756211.jpg
